Nhận xét,Cảm xúc
"Không tốn thời gian di chuyển, thoải mái hơn ở lớp",tốt
"Tập trung, nghiêm túc và ko ồn ào",tốt
Không,không liên quan
Tránh covid,tốt
.,không liên quan
Được ở nhà,tốt
Tiện lợi,tốt
"không cần phải tới trường xa, học ở nhà tiện hơn",tốt
"Có thể học tại nhà, không tốn thêm bất kì chi phí nào",tốt
Được học nhiều thứ,tốt
Không cần di chuyển liên tục,tốt
Có nhìu thơi gian hơn,tốt
"Không phải đến trường, không phải đóng trọ vì có thể về quê học",tốt
Dễ dàng tìm tài liệu phong phú,tốt
Có nhiều thời gian,tốt
Không,không liên quan
Dễ hiểu bài,tốt
.,không liên quan
Tiện lợi,tốt
Tiện lợi ,tốt
"tiết kiệm thời gian di chuyển, không gian yên tĩnh",tốt
Mạng ổn định,tốt
giảng viên cung cấp nhiều tài liệu,tốt
không,không liên quan
tiện lợi khi ở nhà,tốt
tot,tốt
tập trung hơn,tốt
Không phải đi lại,tốt
không,không liên quan
Sắp xếp thời gian học.,tốt
Dễ tiếp thu,tốt
khong,tốt
tiết kiệm thời gian,tốt
tham gia được mọi lúc mọi nơi,tốt
Thời gian linh động,tốt
Học tại nhà giữ gìn được sức khỏe ,tốt
thaori mái trong học tập,tốt
"Tiết kiệm chi phí di chuyển, không tốn nhiều thời gian lên lớp.",tốt
Không,không liên quan
linh động được thời gian,tốt
Có nhiều thời gian,tốt
Không cần di chuyển qua lại các cơ sở,tốt
Có nhiều thời gian hơn,tốt
"Thầy dạy rất nhiệt tình và dễ hiểu, hỗ trợ sinh viên hết mình",tốt
Không bị kẹt xe,tốt
Tiết kiệm thời gian,tốt
Thời gian linh động ,tốt
Hạn chế được dịch bệnh,tốt
Không phải đi đến trường xa xôi.,tốt
không phải lên trường,tốt
bt,bình thường
"Đi lại, covid",tốt
hiểu bài,tốt
Tối ưu được thời gian và chi phí đi lại,tốt
"thuận tiện, tiết kiệm thời gian di chuyển , thoái mái",tốt
Không có,không liên quan
Dễ trao đổi vs giáo viên hơn,tốt
học ở nha thuận tiện hơn,tốt
"Có thể học tại nhà, không tốn nhiều chi phí",tốt
Hạn chế được dịch bệnh,tốt
giảng viên cung cấp nhiều tài liệu,tệ
"Thuận tiện khi học, không cần di chuyển quá nhiều",tốt
Quản lý thời gian,tốt
..,không liên quan
ko,không liên quan
thỏa mái khi học ở nhà,tốt
Không kẹt xe khi đến trường,tốt
Ko,không liên quan
"quản lí được thời gian, năng lực tự học nâng cao, điểm số được cải thiện,..",tốt
Phòng tránh dịch bệnh,tốt
Không có,không liên quan
Không bị trễ giờ,tốt
Em có tham dự buổi học ở bất kỳ khu vực nào,tốt
Không,không liên quan
"Tại nhà, không lo ngại dịch bệnh",tốt
"Giáo viên nhiệt tình, phương pháp dạy hiệu quả, tâm trạng thoải mái, không ràng buộc",rất tốt
Tại nhà ,bình thường
Khong phải di chuyển xa đến trường,tốt
tập trung hơn,tốt
Tiết kiệm thời gian,tốt
.,không liên quan
Thoải mái,tốt
Không cần di chuyển nhiều,tốt
Không có,không liên quan
"Không cần phải ra ngoài vì đang dịch, luôn vào lớp đúng giờ, thoải mái trong mọi việc.",tốt
Không,không liên quan
Khong,không liên quan
thời gian,không liên quan
"thời gian , dễ tập trung",tốt
"Tiện lợi, thoải mái, chủ động",tốt
"Thoải mái về mặt thời gian, tiện lợi",tốt
Không cần ra đường,tốt
Dạ không ,tốt
Dạ không tồn tiền,bình thường 
.,không liên quan
học tại nhà,tốt
ko,không liên quan
GV nhiệt tình ,tốt
Không có,không liên quan
tiện,tốt
không phải di chuyển,tốt
Đơn giản nhanh chóng,tốt
Không,không liên quan
"Đường truyền tốt, dễ quản lý thời gian",tốt
Không có ,không liên quan
tự do,tốt
không phải đii học trong lo sợ bị CAGT kêu tấp vào lề,tốt
"Quản lý được thời gian tốt hơn, dễ tiếp thu bài",tốt
tham gia buổi học đầy đủ,tốt
tiện,tốt
Không có,không liên quan
Dễ hiểu,tốt
Có thể ghi màn hình để xem lại bài,tốt
có laptop để học,tốt
không có,không liên quan
0,không liên quan
Có laptop.,không liên quan
ko,không liên quan
Không có ạ,bình thường
Đảm bảo an toàn sức khỏe trong mùa dịch cho giảng viên cũng như sinh viên,tốt
khám phá được nhiều tính năng của laptop và smartphone,tốt
không có ,không liên quan
Đúng giờ,tốt
dễ lưu lại lời giảng của thầy cô,tốt
thoải mái về thời gian và nơi học ,tốt
tiện lợi và có thể học ở bất cứ đâu,tốt
không bị muộn học,tốt
Không có,không liên quan
Không cần đến trường để tiếp thu kiến thức,tốt
bình thường,bình thường
Dư giả về mặt thời gian,tốt
"thời gian thoải mái, có thể học mọi lúc mọi nơi",tốt
Địa điểm học thoải mái,tốt
ỹ năng sử dụng công nghệ để học tập trực tuyến tốt hơn,tốt
Không di chuyển nhiều,tốt
K ,không liên quan
không,không liên quan
không,không liên quan
fg,tốt
tránh dịch,tốt
Dễ dàng phát biểu,tốt
Dễ hiểu được học tại nhà,tốt
"tiện lợi, nhanh chóng trong việc học tại nhà",tốt
"nhanh, tiện lợi, đỡ tốn công đi lai",tốt
tiết kiệm chi phí di chuyển,tốt
tham khảo tài liệu từ nhiều nguồn ,tốt
tiết kiệm thời gian,tốt
yên tĩnh tập trung hơn ,tốt
Thoải mái,tốt
có thể ghi lại bài giảng dễ dàng,tốt
dễ lắng nghe,tốt
T,không liên quan
dễ nghe bài giảng,tốt
Phòng chống dịch bệnh,tốt
Chi phí,tốt
"Không bị trễ giờ vào lớp học so với học trực tiếp, đi học đầy đủ hơn, dễ tập trung hơn.",tốt
tiết kiệm thời gian,tốt
được ở nhà,tốt
.,không liên quan
Ở nhà an toàn,tốt
Tối ưu hóa thời gian học tập,tốt
Không có ý kiến khác.,bình thường
đường truyền internet,tốt
thuận tiện trong sinh hoạt,tốt
"Thuận tiện di chuyển, chủ yếu là học tại nhà nên rất thoải mái",tốt
chỗ học linh động,tốt
Không có,không liên quan
Có thời gian nghỉ ngơi,tốt
đỡ đi đến trường trong mùa dịch,tốt
không,không liên quan
Có thiết bị đầy đủ,tốt
vừa học vừa có thể làm việc khác phụ gia đình mà không bị mất bài,tốt
Không có ạ ,không liên quan
Thuận tiện trong thời gian dịch bệnh,tốt
Có không gian yên tĩnh,tốt
ko,không liên quan
không,không liên quan
Không,không liên quan
"Không tốn thời gian đi lại, trao đổi với giảng viên dễ hơn",tốt
không thời gian đi lại,tốt
Không phải đi lại.,tốt
.,không liên quan
được học tại nhà,tốt
tốt,tốt
không di chuyển nhiều,tốt
Khoonh tốn tiền gyiwr xe,tốt
Tìm kiếm thông tin trên mạng nhanh ,tốt
Ko có ý kiến,tốt
Vui vẻ thời gian ổn định ,tốt
tiện lợi trong việc giữa các môn học,tốt
Không cần đến trường,tốt
rất tệ,không liên quan
"Thời gian được linh hoạt, ko vào lớp trễ ",tốt
Không,không liên quan
không,không liên quan
"không phải tiếp xúc với dịch bệnh, tiện lợi",tốt
Ổn ạ,tốt
Học nhanh gọn,tốt
"Nhà trường cung cấp đầy đủ thông tin, đường link về môn học",tốt
Ko,không liên quan
dễ tập trung,tốt
Ok,bình thường
Không có,tốt
không phải di chuyển đi lại,tốt
Wifi kém hư pin đt,tệ
Ko,không liên quan
không,không liên quan
bình thường,bình thường
rất tốt ,tốt
H,không liên quan
Không có,không liên quan
Khong,không liên quan
